thousand,千、千の,せん、せんの
umbrella,傘、保護するもの,かさ、ほごするもの
gentle,穏やかな、物柔らかな,おだやかな、ものやわらかな
resurfaced,再び表面に現れた。,ふたたびひょうめんにあらわれた。
faded,色あせた、退色した,いろあせた、たいしょくした
cost-effective,費用対効果の高い、経済的な。,ひようついこうかのたかい、けいざいてきな。
pay,支払う。お金を払うこと。,しはらう。おかねをはらうこと。
embarked,始めた、着手した,はじめた、ちゃくしゅした
palatable,美味しい,おいしい
have no idea,見当がつかない,けんとうがつかない
because of,～が理由で、目的のために,~がりゆうで、もくてきのために
abolish,法律や制度などを廃止する,ほうりつやせいどなどをはいしする
sully,汚す、名誉を傷つける,よごす、めいよをきずつける
ward,区画、病棟、被後見人,くかく、びょうとう、ひこうけんにん
quibble,あら探し、些細な異議,あらさがし、ささいないぎ
dramatic,劇的な、感動的な,げきてきな、かんどうてきな
ceaseless,絶え間ない,たえまない
daily bread,日々の糧,ひびのかて
in the end,最終的には,さいしゅうてきには
idyllic,のどかな、穏やかな,のどかな、おだやかな
hear from,から便りがある、連絡をもらう,からたよりがある、れんらくをもらう
school,学校,がっこう
steal,盗む,ぬすむ
get in on,加わる、乗り込む,くわわる、のりこむ
passage,一節、通路、経過,いっせつ、つうろ、けいか
destination,目的地。旅行や移動の終着地点や到達する場所を指します。,もくてきち。りょこうやいどうのしゅうちゃくちてんやとうたつするばしょをさします。
be superior to,より優れている,よりまされている
see out,見送る、見届ける,みおくる、みとどける
serpent,蛇、蛇のような人,へび、へびのようなにん
practice makes perfect,継続は力なり,けいぞくはちからなり
squirt,噴出する,ふんしゅつする
forgiveness,赦し,ゆるし
episcopal,監督の、司教の,かんとくの、しきょうの
catch on with,に追いつく、届く,においつく、とどく
explain,説明する。何かをわかりやすく説明すること。,せつめいする。なにかをわかりやすくせつめいすること。
fuss,些細なことへの過剰な関心や空騒ぎ。,ささいなことへのかじょうなかんしんやからさわぎ。
develop,開発する、成長する。新しい製品を作り出すことや、技術・能力が成長する過程を指します。,かいはつする、せいちょうする。あたらしいせいひんをつくりだすことや、ぎじゅつ・のうりょくがせいちょうするかていをさします。
keep in,抑える、閉じ込める,おさえる、とじこめる
on the occasion of,に際して、にあたって,にさいして、にあたって
sensitive,敏感な、繊細な。外部の刺激に対して反応しやすい状態。,びんかんな、せんさいな。がいぶのしげきにたいしてはんのうしやすいじょうたい。
engagement,約束、公式な約束や契約。,やくそく、こうしきなやくそくやけいやく。
am,いる、ある,いる、ある
dictate,命令する、口述する,めいれいする、こうじゅつする
iconoclast,偶像破壊者、伝統に反抗する人,ぐうぞうはかいしゃ、でんとうにはんこうするにん
foe,敵,てき
rag,ぼろきれ、布切れ,ぼろきれ、ぬのきれ
plume,飾り羽根、装飾用の羽,かざりはね、そうしょくようのはね
place a ban on,を禁止する、禁じる,をきんしする、きんじる
budget travel,節約旅行,せつやくりょこう
participation,活動や行事への参加・関与,かつどうやぎょうじへのさんか・かんよ
prefer A to B,BよりAを好む,BよりAをこのむ
ethos,気風,きふう
needlessly,不必要に、無用に,ふひつように、むように
retrospect,回顧、回想,かいこ、かいそう
predicament,苦境、困難,くきょう、こんなん
anatomy,解剖学,かいぼうがく
take apart,を分解する,をぶんかいする
sleepy,眠い,ねむい
hallucination,幻覚,げんかく
node,節,ふし
cheek,頬、顔の側面,ほお、かおのそくめん
decent,まともな、ふさわしい,まともな、ふさわしい
pregnant,妊娠している、妊娠中の,にんしんしている、にんしんちゅうの
when it comes to,のことになると、(話が)…ということになると,のことになると、(はなしが)...ということになると
glorify,栄光をたたえる、賛美する,えいこうをたたえる、さんびする
exhibitor,展示者、商品や作品を展示する人。,てんじもの、しょうひんやさくひんをてんじするにん。
sneak in,こっそり入る,こっそりいる
emission,物質の排出過程。,ぶっしつのはいしゅつかてい。
be envious of,をうらやんでいる,をうらやんでいる
on the way,道の途中で,みちのとちゅうで
check-in,搭乗手続き,とうじょうてつづき
pervade,浸透する,しんとうする
down payment,頭金、手付金,あたまきん、てつけきん
blaze,強い火炎や炎のこと。,つよいかえんやほのおのこと。
typhoid,腸チフス,ちょうちふす
tell A apart,Aを区別する、Aを見分ける,Aをくべつする、Aをみわける
mammal,哺乳類の動物、毛がある。,ほにゅうるいのどうぶつ、けがある。
to date,これまで、現在まで,これまで、げんざいまで
finger,指,ゆび
petulant,拗ねた,すねた
be,である,である
dedicate,全力を注ぐ、献身する,ぜんりょくをそそぐ、けんしんする
graze,軽食をとる、または動物が草を食べること。,けいしょくをとる、またはどうぶつがくさをたべること。
sticking point,障害、行き詰り,しょうがい、いきなじり
heady,せっかちな、急かせる,せっかちな、せかせる
unit,単位。数や量を計測するための基準や、組織内の独立した部門を指します。,たんい。かずやりょうをけいそくするためのきじゅんや、そしきないのどくりつしたぶもんをさします。
